director_name
Jim Sheridan
Richard LaGravenese
George Armitage
Patrick Lussier
James Wong
Chuck Bowman
Iain Softley
Penny Marshall
Paul Bolger
David Zucker
Rob Reiner
Denis Villeneuve
Thomas Carter
Roger Michell
Garth Jennings
Joel Zwick
David R. Ellis
John A. Davis
Julie Taymor
John Schultz
Sean Penn
Susan Stroman
Billy Bob Thornton
Danny Pang
Oliver Parker
Lawrence Kasanoff
Ben Affleck
Paul McGuigan
Gus Van Sant
Roger Kumble
Burr Steers
John Hamburg
Mark Pellington
Catherine Hardwicke
John Herzfeld
Julie Anne Robinson
Evan Goldberg
Brian Helgeland
Asger Leth
Anne Fletcher
Sam Taylor-Johnson
Ken Kwapis
Wes Craven
Etan Cohen
Nora Ephron
Frank Marshall
Pete Travis
Nick Cassavetes
Nicholas Stoller
Peter Chelsom
Brad Furman
Cal Brunker
Mel Gibson
Nimr??d Antal
David Koepp
Alejandro Agresti
Peter Hedges
Paul Weiland
Mathieu Kassovitz
Colin Strause
Joan Chen
Greg Mottola
Jake Kasdan
Mimi Leder
Stephen Daldry
Christian Duguay
Pat O'Connor
Stephen Hopkins
Michael Caton-Jones
Joseph Kahn
Sofia Coppola
Stephen Kay
Dennie Gordon
Danny DeVito
Malcolm D. Lee
Marc F. Adler
Pierre Morel
Richard Shepard
Jeff Nathanson
Michael Lehmann
Charles S. Dutton
David Mirkin
Luis Mandoki
Lee Daniels
Steve Miner
Paul Thomas Anderson
J Blakeson
Ryan Coogler
Kirk Jones
Ethan Coen
Jennifer Flackett
Kevin Smith
Christian Ditter
Charles Martin Smith
Steve Pink
John Frankenheimer
Andrew Bergman
Chris Rock
Seth Gordon
Kevin Rodney Sullivan
Michael Tollin
Patrick Tatopoulos
Gary David Goldberg
Alan Poul
Luke Greenfield
Gil Junger
Alexandre Aja
Michael Rymer
Scott Mann
Chris Carter
Tommy O'Haver
Craig Mazin
Allen Hughes
Lasse Hallstr??m
Les Mayfield
Terrence Malick
Lexi Alexander
Tony Kaye
Ken Scott
George Tillman Jr.
Hugh Hudson
Andrzej Bartkowiak
Chris Gorak
Scott Speer
Joe Charbanic
Jonathan Hensleigh
Danny Cannon
Boaz Yakin
David Wain
John Luessenhop
Justin Zackham
John Gatins
Miguel Sapochnik
Don Scardino
Tom Reeve
Nanette Burstein
Scott Hicks
John Francis Daley
J.B. Rogers
Michael Sucsy
Tom Vaughan
Stephen Hillenburg
Jason Reitman
Alexander Payne
Jonathan Levine
Rian Johnson
Michael McCullers
Ted Demme
Frederik Du Chau
James Gartner
Lee Toland Krieger
Tim McCanlies
Drew Goddard
Jason Friedberg
Tom Hanks
Kimberly Peirce
Liz Friedlander
Phil Joanou
Sam Weisman
Shane Acker
Martha Coolidge
Stephen J. Anderson
Troy Miller
Tate Taylor
Ivan Reitman
Alister Grierson
Nick Hurran
Charles Stone III
Paul Haggis
Kurt Wimmer
Jean-Fran??ois Richet
Ellory Elkayem
Niki Caro
Gavin O'Connor
Bruce Hunt
Jee-woon Kim
Nick Hamm
Andy Cadiff
Mike Disa
Peter Howitt
Niels Arden Oplev
Michael Radford
Steve Boyum
Corey Yuen
Andrew Dominik
Greg Tiernan
Elizabeth Banks
Edward Norton
Ben Falcone
John Maybury
Miguel Arteta
James Gray
Janusz Kaminski
John Carpenter
Jeff Wadlow
Callie Khouri
Sanaa Hamri
Todd Graff
Christian Alvart
E. Elias Merhige
Menno Meyjes
Jodie Foster
Scott Frank
Kevin Costner
Jonathan Frakes
Kevin Allen
Woody Allen
Michael Hoffman
Ronny Yu
Charles Herman-Wurmfeld
Gabor Csupo
Tyler Perry
Joe Carnahan
John Polson
