"","directors","score_coef"
"255","Richard Schenkman",0.0962310351495818
"256","C. Jay Cox",0.0962310265020457
"257","Douglas McGrath",0.0827457606888084
"258","Clint Eastwood",0.0774328450676033
"259","Ron Howard",0.0719485516996304
"260","Steven Soderbergh",0.0622311436055687
"261","Zack Snyder",0.0621273567594777
"262","Peter Berg",0.062127120849452
"263","David Ayer",0.0621264506110007
"264","Doug Liman",0.0621264033246834
"265","Robert Schwentke",0.0621256109295779
"266","Ethan Coen",0.062123011745904
"267","McG",0.0394649406989122
"268","Michael Bay",0.0393352517324657
"269","Marc Webb",0.0392954185872603
"270","Chris Weitz",0.0392953254323258
"271","Justin Lin",0.0392948681751975
"272","Lana Wachowski",0.0392947545276465
"273","Jon Favreau",0.0392947128218403
"274","Francis Lawrence",0.0392944003858805
"275","Wolfgang Petersen",0.0392943654891862
"276","Michael Apted",0.039294301818685
"277","Ang Lee",0.0392939504989279
"278","David Twohy",0.0392936802515904
"279","Neil Burger",0.0392930155275382
"280","F. Gary Gray",0.039292720353276
"281","Gregory Hoblit",0.039292468378983
"282","David Slade",0.0392924222175507
"283","Angelina Jolie Pitt",0.0392923559774479
"284","Will Gluck",0.0392922989747581
"285","Frank Miller",0.0392922547705107
"286","David Frankel",0.0392922071599004
"287","Scott Cooper",0.0392918829320404
"288","Curtis Hanson",0.0392918541307865
"289","Jim Sheridan",0.0392915841443792
"290","Brian Helgeland",0.0392913934175833
"291","Nicholas Stoller",0.0392913311779422
"292","Mike Binder",0.0392905071511347
"293","Rick Famuyiwa",0.0392902583584093
"294","Nicole Holofcener",0.0392900136710507
"295","John Cameron Mitchell",0.0392899441693939
"296","Sam Raimi",0.0108121732313302
"297","Robert Zemeckis",0.0108113844292628
"298","Bill Condon",0.0108105067102816
"299","Nancy Meyers",0.0108096412378859
"300","Todd Phillips",0.0108095279846166
"301","Craig Gillespie",0.0108090043028281
"302","Taylor Hackford",0.0108088779209174
"303","Kenny Ortega",0.0108087518853112
"304","Jay Chandrasekhar",0.0108084294288314
"305","Andrew Niccol",0.0108082658824927
"306","Dan Scanlon",0
"307","Robert Stromberg",0
"308","Carl Rinsch",0
"309","James Gunn",0
"310","Steve Hickner",0
"311","Alessandro Carloni",0
"312","Mark Osborne",0
"313","Eric Leighton",0
"314","Guy Ritchie",0
"315","Jos?? Padilha",0
"316","George Lucas",0
"317","Cedric Nicolas-Troyan",0
"318","Josh Trank",0
"319","Ron Clements",0
"320","Florian Henckel von Donnersmarck",0
"321","Lawrence Guterman",0
"322","Michael Patrick King",0
"323","Bibo Bergeron",0
"324","Roger Allers",0
"325","Anthony Minghella",0
"326","Albert Hughes",0
"327","Kelly Asbury",0
"328","Terry Gilliam",0
"329","Barry Cook",0
"330","Roger Christian",0
"331","Oliver Hirschbiegel",0
"332","Alfonso Cuar??n",0
"333","Florent-Emilio Siri",0
"334","Don Bluth",0
"335","Gary Shore",0
"336","M??ns M??rlind",0
"337","Mikael H??fstr??m",0
"338","Baltasar Korm??kur",0
"339","Kevin Macdonald",0
"340","Patrick Gilmore",0
"341","Walter Hill",0
"342","Tom Dey",0
"343","Kent Alterman",0
"344","Karey Kirkpatrick",0
"345","Kathryn Bigelow",0
"346","Paul Hunter",0
"347","Bennett Miller",0
"348","Matthew O'Callaghan",0
"349","Jorge R. Guti??rrez",0
"350","Barbet Schroeder",0
"351","Tom Tykwer",0
"352","George Armitage",0
"353","Roger Michell",0
"354","Garth Jennings",0
"355","John A. Davis",0
"356","Nora Ephron",0
"357","Nimr??d Antal",0
"358","Christian Duguay",0
"359","Pat O'Connor",0
"360","Dennie Gordon",0
"361","Marc F. Adler",0
"362","Charles S. Dutton",0
"363","J Blakeson",0
"364","Alan Poul",0
"365","Michael Rymer",0
"366","Lasse Hallstr??m",0
"367","Chris Gorak",0
"368","Scott Speer",0
"369","James Gartner",0
"370","Tim McCanlies",0
"371","Tom Hanks",0
"372","Liz Friedlander",0
"373","Jean-Fran??ois Richet",0
"374","Bruce Hunt",0
"375","Peter Howitt",0
"376","John Maybury",0
"377","Menno Meyjes",0
"378","Michael Hoffman",0
"379","Gabor Csupo",0
"380","Cathy Malkasian",0
"381","John Eng",0
"382","Victor Salva",0
"383","Dwight H. Little",0
"384","Carter Smith",0
"385","Bruce McCulloch",0
"386","Jonathan Lynn",0
"387","Kevin Spacey",0
"388","Tony Goldwyn",0
"389","Michael Dinner",0
"390","Mike Bigelow",0
"391","John Curran",0
"392","Joshua Michael Stern",0
"393","Jun Falkenstein",0
"394","Neil LaBute",0
"395","Anton Corbijn",0
"396","Kevin Reynolds",0
"397","Todd Strauss-Schulson",0
"398","Jim Field Smith",0
"399","Paul Abascal",0
"400","Mark Mylod",0
"401","Benson Lee",0
"402","Marc Abraham",0
"403","Richard Benjamin",0
"404","Andrew Jarecki",0
"405","Andrew Douglas",0
"406","Ricky Gervais",0
"407","Thomas Bezucha",0
"408","Nicholas Hytner",0
"409","John Boorman",0
"410","Courtney Solomon",0
"411","Zack Ward",0
"412","Kasi Lemmons",0
"413","Alejandro Amen??bar",0
"414","Erik White",0
"415","Rowdy Herrington",0
"416","Cyrus Nowrasteh",0
"417","Perry Andelin Blake",0
"418","Allen Coulter",0
"419","Bruce Paltrow",0
"420","Susanne Bier",0
"421","Jessy Terrero",0
"422","William Bindley",0
"423","Jean-Marc Vall??e",0
"424","Dennis Iliadis",0
"425","Rick Rosenthal",0
"426","Catherine Owens",0
"427","Mark Piznarski",0
"428","Craig Brewer",0
"429","Wil Shriner",0
"430","Ry??hei Kitamura",0
"431","Dito Montiel",0
"432","James Isaac",0
"433","Emilio Estevez",0
"434","Josh Schwartz",0
"435","Stephen Carpenter",0
"436","Eric Bress",0
"437","Brad Anderson",0
"438","Ethan Maniquis",0
"439","Mike McCoy",0
"440","Nima Nourizadeh",0
"441","David Moreau",0
"442","Timothy Hines",0
"443","R.J. Cutler",0
"444","Rob Pritts",0
"445","Tim Blake Nelson",0
"446","Jon Kasdan",0
"447","Christopher Cain",0
"448","David Lowery",0
"449","Ciar??n Foy",0
"450","Rob Schmidt",0
"451","Neal Brennan",0
"452","Timothy Bj??rklund",0
"453","Joshua Seftel",0
"454","Michael Meredith",0
"455","Julio DePietro",0
"456","Katherine Dieckmann",0
"457","Michael Clancy",0
"458","Jim Issa",0
"459","Tamara Jenkins",0
"460","Linda Mendoza",0
"461","Ari Sandel",0
"462","Jonathan Dayton",0
"463","Justin Tipping",0
"464","Anna Boden",0
"465","Marc Sch??lermann",0
"466","Charles Robert Carner",0
"467","Siddharth Anand",0
"468","Joe Dante",0
"469","Don Kempf",0
"470","Don Michael Paul",0
"471","Tim Chambers",0
"472","Rodrigo Garc??a",0
"473","Francis Ford Coppola",0
"474","Robert C. Cooper",0
"475","Oren Moverman",0
"476","Brian Klugman",0
"477","Raymond De Felitta",0
"478","Jon Knautz",0
"479","Rick Bieber",0
"480","Joey Lauren Adams",0
"481","Greg Marcks",0
"482","Darren Grant",0
"483","George Ratliff",0
"484","Dan Trachtenberg",0
"485","Gonzalo L??pez-Gallego",0
"486","Christine Jeffs",0
"487","Bill Duke",0
"488","J.S. Cardone",0
"489","Marc Bennett",0
"490","Jonas ??kerlund",0
"491","Ernie Barbarash",0
"492","William Arntz",0
"493","Ron Fricke",0
"494","Mora Stephens",0
"495","Gideon Raff",0
"496","Louis C.K.",0
"497","Adam Rapp",0
"498","Mark Young",0
"499","Damien Chazelle",0
"500","Benny Boom",0
"501","Whit Stillman",0
"502","Tim Heidecker",0
"503","Deon Taylor",0
"504","Chris D'Arienzo",0
"505","Heidi Ewing",0
"506","Dinesh D'Souza",0
