"","actors","score_coef"
"247","Don Rickles",0.112971180850471
"248","Alex Gibney",0.112155913160065
"249","Lou Adler",0.112155549133834
"250","Merry Clayton",0.112154692128034
"251","Greg D'Agostino",0.112154455503652
"252","Marcia Wallace",0.112092566340416
"253","Yeardley Smith",0.112077806702583
"254","Gerry Lopez",0.112073417898297
"255","Dustin Lance Black",0.112073376028329
"256","Michael Derek",0.112073372936486
"257","William Baldwin",0.112073369683653
"258","Seamus Davey-Fitzpatrick",0.112073357909344
"259","Vernon Dobtcheff",0.112073354087027
"260","Misha Gabriel Hamilton",0.112073343054761
"261","Long Nguyen",0.112073341298299
"262","Steve Bastoni",0.112073341015318
"263","Mick Jagger",0.112073337464047
"264","Sofia Boutella",0.112073331829248
"265","Najarra Townsend",0.112073324942031
"266","Jeff Bennett",0.112073322605892
"267","W. Earl Brown",0.112073318582493
"268","Jeffrey Frost",0.112073314699516
"269","Francesca Capaldi",0.112073298715748
"270","Noam Chomsky",0.112073286745056
"271","Odessa Rae",0.112073284911541
"272","Ahna O'Reilly",0.1120732653604
"273","Kathleen Freeman",0.112073257898352
"274","Scott Helvenston",0.112073245754823
"275","Kevin Scott Richardson",0.11207323268599
"276","Rian Bishop",0.112073213863879
"277","Carol Channing",0.112073211965723
"278","Heather Berman",0.112073211126973
"279","Tommy Sheppard",0.112073206159342
"280","Bob Proctor",0.112073200200392
"281","Arliss Howard",0.11207319685534
"282","The Dalai Lama",0.112073194184153
"283","Sam Adams",0.112073192930145
"284","Michael Abbott Jr.",0.112073192717569
"285","Mary Kate Wiles",0.112073192213178
"286","Matisyahu",0.112073187501204
"287","Tony Alva",0.112073183201779
"288","Mike Howard",0.112073182219236
"289","Greg Ayres",0.11207316923588
"290","Mark Zupan",0.112073166705498
"291","Richard Jewell",0.112073154976614
"292","Mia Farrow",0.112073144051537
"293","Temple Grandin",0.112073138863245
"294","Abigail Evans",0.112073135596401
"295","Christian Clemenson",0.11207313038965
"296","Joel Moody",0.11207311991759
"297","James Hetfield",0.11207311532887
"298","Dan Novy",0.112073113298611
"299","Jon Brion",0.112073109071636
"300","Manish Dayal",0.112073105894425
"301","Morgan Saylor",0.112073103974011
"302","J.D. Williams",0.112073102024802
"303","Bob Hoskins",0.112073090266858
"304","Christo Jivkov",0.112073038992852
"305","Dick Clark",0.112073024576606
"306","Dawn French",0.112072836177359
"307","John Hodgman",0.112070306208604
"308","Clemens Schick",0.112070201223803
"309","Bobby Block",0.112070190961306
"310","Fred Tatasciore",0.112070183709139
"311","Judith Hill",0.112070178559949
"312","Jennifer Hall",0.112070178286281
"313","Bruce Goodchild",0.112070176889241
"314","Bill Melendez",0.112070171072326
"315","Michelle Nolden",0.112070170379389
"316","Hristo Shopov",0.11207016608227
"317","Helmut Bakaitis",0.112070150644639
"318","Juhi Chawla",0.112070145942349
"319","Lars Ulrich",0.112070137643382
"320","Susan Blommaert",0.112070131122051
"321","Diana Maria Riva",0.112070130870872
"322","Lydia Wilson",0.112070110974283
"323","Samantha Esteban",0.112070109249843
"324","David Barnes",0.112070107882028
"325","Lia Tucker",0.112070106094485
"326","Barry Lynch",0.112070100922539
"327","Simon Baron-Cohen",0.112070098752321
"328","Emily Gorell",0.112070098506432
"329","Bruce Gooch",0.11207009553192
"330","Andy Cohn",0.112070088748227
"331","Sara Stepnicka",0.112070087376194
"332","Renee Leblanc",0.112070084265495
"333","Madeleine Albright",0.11207008359872
"334","Swami Krishnanad",0.112070081058843
"335","Jeff Jacob",0.112070080032273
"336","Travis Smith",0.112070079894078
"337","Jeff Ament",0.11207007896173
"338","Felix Avitia",0.112070078591075
"339","Eric Worre",0.112070074914785
"340","Mickey Hart",0.112070073663052
"341","Paul Daggett",0.11207007361588
"342","Tony Bennett",0.112070073020164
"343","Tommy the Clown",0.112070070019168
"344","Donna Zovko",0.112070065584763
"345","Ariana Neal",0.11207006032292
"346","Patrick Wilson",0.112070052848326
"347","Bill Baird",0.112070048653533
"348","Miranda July",0.112070043768817
"349","Ken Davis",0.112070042546199
"350","Rhea Perlman",0.112070036922605
"351","Cat Ly",0.112070036734654
"352","Owen Kline",0.112070036572468
"353","Marie Pillet",0.112070031289765
"354","Adam Carolla",0.112070030459981
"355","Albert Maysles",0.112070029492846
"356","Brad Lee Wind",0.11207002650548
"357","Gavin Newsom",0.112070026314885
"358","Athina Rachel Tsangari",0.11207002029467
"359","Laird John Hamilton",0.112070007786816
"360","John Enos III",0.112058443908419
"361","Ariane Labed",0.112058307938737
"362","Gabrielle Reece",0.112058295493794
"363","Keith Richards",0.112058293546001
"364","Adam Arkin",0.112058281907263
"365","Arturo Castro",0.11205826304842
"366","Albert Delpy",0.112058262220534
"367","Emily Pearson",0.112058261067156
"368","Kieu Chinh",0.112058258887916
"369","John Considine",0.112058258591632
"370","Jay Adams",0.11205825705868
"371","Jack Canfield",0.112058256012026
"372","Greg Speirs",0.112058252221915
"373","Megan Ambuhl Graner",0.11205825175096
"374","Steve Duin",0.112058249456832
"375","Eva Carrozza",0.112058249286811
"376","Jonathan Caouette",0.112058248933269
"377","G.J. Echternkamp",0.112058248759597
"378","Bruce Vilanch",0.112058248351665
"379","David Mersault",0.112058247477601
"380","Natalie Canerday",0.112058247469883
"381","Pat Buchanan",0.112058246719212
"382","Jennifer Landa",0.1120582465826
"383","Jasper Johal",0.11205824567726
"384","Katy Helvenston-Wettengal",0.112058242661673
"385","Brad William Henke",0.112058241228769
"386","Natasha Bedingfield",0.112058239942272
"387","Christopher Toler",0.112058239737639
"388","Melonie Diaz",0.11205823745911
"389","Jordan Bridges",0.112058233614523
"390","Joe Bishop",0.112058233409332
"391","Elizabeth Meriwether",0.112058231425042
"392","Stacie Evans",0.112058229550744
"393","Rowan Isaacson",0.112058226637954
"394","Dottie Alexander",0.112058222740533
"395","Hassan Johnson",0.112058220998573
"396","Bill Allen",0.112058215181015
"397","Valente Rodriguez",0.112058093172353
"398","Melissa Roxburgh",0.112058085132191
"399","David Alan Basche",0.112058063360978
"400","Mackenzie Gray",0.112058051074767
"401","Charlotte Le Bon",0.112058050559913
"402","Maia Morgenstern",0.112058039600284
"403","David Julian Hirsh",0.112058005652433
"404","Brooklynn Proulx",0.112057915749066
"405","Gabriel Thomson",0.11205791301799
"406","Jeffrey W. Jenkins",0.112057899936513
"407","Daniel Bernhardt",0.11205788407537
"408","Venus Schultheis",0.112057818524199
"409","Chris Miller",0.112057786606482
"410","Teala Dunn",0.11205776406216
"411","Mekia Cox",0.112057749661109
"412","Jennifer Saunders",0.112057626999685
"413","Albert Brooks",0.111941872267364
"414","Dayo Okeniyi",0.111734564878117
"415","Summer Phoenix",0.111722170784983
"416","Theresa Russell",0.111720282562966
"417","Russ Tamblyn",0.111677652681001
"418","George W. Bush",0.111555606080299
"419","Sheryl Crow",0.11155478020018
"420","Donald Rumsfeld",0.111034221442875
"421","Dick Cheney",0.111031764911549
"422","Brian Dorton",0.110976407090607
"423","Jan Cornet",0.110961542101097
"424","Joan Chen",0.110131576325417
"425","Jessica Hecht",0.110128768386055
"426","Jeremy Shada",0.110111148795204
"427","Trey Parker",0.110108200252464
"428","Sean Maher",0.110070010388771
"429","Michael Hitchcock",0.1100688457787
"430","Simon McBurney",0.109670773945023
"431","Tiago Riani",0.108967936267503
"432","Hayley Lovitt",0.108966241335654
"433","Huell Howser",0.108492053252284
"434","Robert Lopez",0.108488920221375
"435","Mckenna Grace",0.107385960252172
"436","Natalie Coughlin",0.107381248426444
"437","Lucy Fry",0.10736301194477
"438","Leonardo DiCaprio",0.103674620642548
"439","Orlando Bloom",0.0984943160318442
"440","Kelly Macdonald",0.0951753063572384
"441","Bill Cobbs",0.0935549063931685
"442","Jennifer Jason Leigh",0.0929459811137125
"443","Albert Finney",0.092926732004047
"444","Tate Donovan",0.0928565708251049
"445","Nicole Beharie",0.0912306799735674
"446","Goran Visnjic",0.0896821944144257
"447","Michael Kelly",0.0889197365682754
"448","Mark Margolis",0.0872723583356965
"449","Cas Anvar",0.0866413503104316
"450","Gaby Hoffmann",0.0845032236364208
"451","Ethan Suplee",0.0833235678328508
"452","Tye Sheridan",0.0823155137074644
"453","Curtis Armstrong",0.0819520048205743
"454","Billy Crudup",0.0815522924192773
"455","Omar Epps",0.0803427180986307
"456","Tom Hanks",0.0787030581631432
"457","Michael O'Neill",0.0785029325544338
"458","F. Murray Abraham",0.0759678159101031
"459","Quinton Aaron",0.0724634928619495
"460","Ellen Burstyn",0.0718393276851751
"461","Philip Seymour Hoffman",0.0705464431613931
"462","Felicity Huffman",0.0701374506303855
"463","Denis O'Hare",0.0693284896901873
"464","Bam Margera",0.0683267490324847
"465","Steve-O",0.0683222869819504
"466","Natalie Portman",0.067362668090929
"467","Bill Murray",0.0672241970469324
"468","Jennifer Lawrence",0.0671570682504879
"469","Tom Hardy",0.065643269209078
"470","Eddie Marsan",0.0652397757498942
"471","Noah Emmerich",0.0649669391723218
"472","Michael Moore",0.0643392088427772
"473","Tyler Labine",0.0626488799457419
"474","Leven Rambin",0.0626250540511668
"475","Quentin Tarantino",0.0623540544356898
"476","Julia Ormond",0.062336941754848
"477","Robert Downey Jr.",0.0622078293556023
"478","Eddie Jemison",0.0619363184260007
"479","Michael Fassbender",0.0615294811689323
"480","Mariah Carey",0.0615183385489394
"481","Logan Lerman",0.0610380514045418
"482","Taran Killam",0.0608102458547319
"483","Corbin Bernsen",0.0606146317370716
"484","Heath Ledger",0.0600724392591291
"485","James Wilcox",0.0599555197034363
"486","Kodi Smit-McPhee",0.0598866750400486
"487","Tyler Mane",0.0597939806073045
"488","Chase Ellison",0.0596081902367511
"489","Anders Holm",0.0593441649494434
"490","Denzel Washington",0.0592939573167481
"491","Maura Tierney",0.0592378992738229
"492","Karen Allen",0.0592228478827408
"493","Erick Avari",0.0590563916923558
"494","Daniel Henney",0.0583379203406264
"495","Tim McGraw",0.0582931105467198
"496","Joseph Gordon-Levitt",0.0582592028936802
"497","Jessica Capshaw",0.0580900785438189
"498","Denis Leary",0.0572771762810026
"499","Joely Richardson",0.0570212367448001
"500","Barry Corbin",0.0568279679735904
"501","Austin Pendleton",0.0566578097052769
"502","Tim Guinee",0.0566530320550796
"503","Hayley Atwell",0.0564752440009436
"504","Wes Studi",0.0562225309123496
"505","Rebecca De Mornay",0.0562087443132906
"506","Madison Pettis",0.0561216759765275
"507","Isabella Rossellini",0.0561027036038206
"508","Leonard Nimoy",0.0560790520156433
"509","Kevin Gage",0.0560245055905308
"510","Fred Armisen",0.0558748846056311
"511","Carmen Ejogo",0.0557583912631389
"512","Kimberly Williams-Paisley",0.0555713114010011
"513","Emma Stone",0.0551830137989748
"514","Aaron Stanford",0.0550185153542675
"515","Matthew Gray Gubler",0.0549791113874179
"516","Viggo Mortensen",0.0547732630819041
"517","Brian Geraghty",0.0546048765307516
"518","Michael Jeter",0.054583808040455
"519","John Fiedler",0.0545575468113033
"520","Eartha Kitt",0.0544789230638743
"521","Anthony Edwards",0.0544766093611935
"522","Ezra Miller",0.0539536626890324
"523","Giancarlo Giannini",0.0538575246641183
"524","Christian Bale",0.0537881137419708
"525","Matt O'Leary",0.0529584583142144
"526","Kristin Scott Thomas",0.052756666528205
"527","Kylie Minogue",0.0521943759912725
"528","Joanna Lumley",0.0521480523893919
"529","Amber Stevens West",0.0521458948647066
"530","Kevin Dunn",0.0521027817478571
"531","Scoot McNairy",0.0520758912667942
"532","Wendie Malick",0.0520106877003216
"533","Zack Ward",0.0519238304841904
"534","Jim Broadbent",0.0518876766994903
"535","Amy Ryan",0.0518387197588605
"536","Toby Jones",0.0516438665163105
"537","Hugh Jackman",0.0515413602201572
"538","Hal Holbrook",0.0515366858264784
"539","Barry Bostwick",0.0513299099137645
"540","Clea DuVall",0.0512418370621697
"541","Abraham Benrubi",0.0510451601914988
"542","Jim Parrack",0.0509747217818499
"543","Benedict Cumberbatch",0.0508457594137934
"544","Kate Winslet",0.0506662044909978
"545","Powers Boothe",0.050584691041429
"546","Tom Cruise",0.0505785177764208
"547","William Morgan Sheppard",0.0504410374694583
"548","Leonard Roberts",0.0503758581077111
"549","Jake Busey",0.0503716786499723
"550","D. David Morin",0.0503352326011145
"551","Daniel Stern",0.0502910526408294
"552","Dustin Fitzsimons",0.050222671374755
"553","Robert Clohessy",0.0502194796668803
"554","Gabourey Sidibe",0.0501062849981393
"555","Rory Cochrane",0.0499749366489405
"556","Dylan Walsh",0.0497615088703524
"557","James Urbaniak",0.0497564798693674
"558","Jeremy Irvine",0.0495871716072968
"559","Tom Wilkinson",0.0495746846748577
"560","Allison Tolman",0.0492861043592585
"561","Josh Hamilton",0.0491747868362435
"562","Vanessa Ray",0.0491350830175307
"563","Adam Goldberg",0.0489210749653948
"564","Jerry Ferrara",0.0488282053344483
"565","Russell Peters",0.0485721177389579
"566","Michael Emerson",0.0484848378760507
"567","Patrick Fugit",0.0484014221708928
"568","Samantha Morton",0.0483842080226398
"569","Joe Cole",0.048248537844539
"570","Mike White",0.0478414159527014
"571","Matthew McConaughey",0.0478346331089607
"572","Jake Gyllenhaal",0.0478239572141201
"573","Bruce Green",0.0477520918268196
"574","Brianna Brown",0.0476702766385251
"575","Alexa Davalos",0.0475185074296762
"576","Brian Johnson",0.0473644492750932
"577","Finn Wittrock",0.0473264386375327
"578","Rosemarie DeWitt",0.0473246556048457
"579","Paul Schneider",0.0472392079569329
"580","Paul Sanchez",0.0470597087550146
"581","Michael Bowen",0.046935159295006
"582","Sean Pertwee",0.046705234428331
"583","Mark Rylance",0.0466333956984231
"584","James Duval",0.0461562498364329
"585","Jimmy Smits",0.0461119623446016
"586","Christopher Lee",0.0460976017145738
"587","Jon Stewart",0.0457844917615024
"588","Jonathan Sadowski",0.0455724734490703
"589","Nick Searcy",0.0455160325453673
"590","David Costabile",0.0453006703946695
"591","Kate Walsh",0.0450317901587832
"592","Burt Young",0.0446942072537192
"593","Craig T. Nelson",0.044506727282859
"594","Michael Nouri",0.0444993023110086
"595","Sandra Ellis Lafferty",0.0443485176082914
"596","Khamani Griffin",0.0441040926212275
"597","Chris Mulkey",0.0439337282807863
"598","Conchata Ferrell",0.0439284408146709
"599","Ossie Davis",0.043665732900968
"600","Kim Dickens",0.0436299039122623
"601","Graham McTavish",0.0435356864729993
"602","Liam James",0.043042852523005
"603","Suraj Sharma",0.042786156732268
"604","Jack O'Connell",0.0426961372415676
"605","Ned Beatty",0.0423173119681845
"606","Michael McKean",0.0423090557007834
"607","Scarlett Johansson",0.0422399803034402
